Unnamed: 0,text,label,language,translated_text,back_translated_text
208131,Calon Gubernur Bali nomor urut 2 Ida BagusÂ RaiÂ DharmawijayaÂ Mantramengisi jadwal kampanyenya dengan menggelar simakrama di sejumlah titik di Tabanan pada Senin (16/4/2018). #mantrakerta,0.0,13,Bali Governor Candidate number 2 Ida Bagus Rai Dharmawijaya Mantra filled his campaign schedule by holding social gatherings at a number of points in Tabanan on Monday (16/4/2018). #mantrakerta,Calon Gubernur Bali nomor urut 2 Ida Bagus Rai Dharmawijaya Mantra mengisi jadwal kampanyenya dengan menggelar arisan di sejumlah titik di Tabanan pada Senin (16/4/2018). #mantrakerta
208132,"Ayo gelorakan #2019GantiPresiden, insya Allah kesejahteraan merata. Komunis lenyap.",0.0,13,"Come on, let's celebrate #2019ChangePresident, God willing, prosperity will be evenly distributed. Communism is gone.","Ayo kita rayakan #2019GantiPresiden, Insya Allah kesejahteraan akan merata. Komunisme telah hilang."
208136,Gambar masakan tayahla pki filter doo. Asam pedas pn da nmpk mcm curry \xf0\x9f\x98\x85 . Nasib baik aku bc caption \xf0\x9f\x98\xa3',0.0,13,Image of tayahla pki filter doo cooking. Spicy sour and looks like curry \xf0\x9f\x98\x85 . Luckily I read the caption \xf0\x9f\x98\xa3',Gambar masakan tayahla pki filter doo. Asam pedas dan terlihat seperti kari \xf0\x9f\x98\x85 . Untung saja aku membaca caption \xf0\x9f\x98\xa3'
208137,USER Pilih D gak nista agama cuma teman koruptor belum tentu dia korup',0.0,13,"USER Choose D, don't blaspheme religion, just a friend of a corrupt person doesn't mean he's corrupt'","PENGGUNA Pilih D, jangan hujat agama, hanya teman orang koruptor bukan berarti dia korup'"
208138,"Seoul kini menjadi salah satu destinasi favorit di Asia. Selain budaya yang unik, hallyu atau Korean wave menjadi faktor utama membuat Seoul kebanjiran traveler. Nah, buat kamu yang mau jelajah ke Korea, intip dulu 6 Hal Seru yang dapat kamu lakukan di Seo",0.0,13,"Seoul is now one of the favorite destinations in Asia. Apart from the unique culture, hallyu or Korean wave is the main factor in causing Seoul to be flooded with travelers. So, for those of you who want to explore Korea, first take a look at 6 fun things you can do in SEO","Seoul kini menjadi salah satu destinasi favorit di Asia. Selain budayanya yang unik, hallyu atau Korean wave menjadi faktor utama penyebab Seoul kebanjiran wisatawan. Nah buat kamu yang ingin explore Korea, simak dulu 6 hal seru yang bisa kamu lakukan dalam SEO"
208139,"USER USER USER USER USER USER USER USER USER USER USER Bakal alot mengeluarkan sertifikat ""Halal""nya. Komponen mikro yg ditengarai bersentuhan atau berasal dari babi dan telah mengalami dekomposisi molekular atau bahkan atomik dicap haram. Apalagi najis yg sama sekali tidak mengalami proses dekomposisi molekular. Bakal rame nih.'",0.0,13,"USER USER USER USER USER USER USER USER USER USER It will be difficult to issue a ""Halal"" certificate. Micro components that are suspected to have come into contact with or come from pork and have undergone molecular or even atomic decomposition are labeled as haram. Moreover, it is unclean that does not undergo any molecular decomposition process at all. It's going to be busy.""","USER USER USER USER USER USER USER USER USER Akan sulit untuk menerbitkan sertifikat ""Halal"". Komponen mikro yang diduga bersentuhan atau berasal dari daging babi dan telah mengalami penguraian secara molekuler atau bahkan atom, dianggap haram. Apalagi najis yang tidak mengalami proses penguraian molekuler sama sekali. Ini akan menjadi sibuk."""
208140,"USER dulu pakai aparat dgn mantra ""anda anti pembangunan. anda komunis""'",0.0,13,"USER used to use the authorities with the mantra ""you are anti-development. You are a communist""'","USER biasa menggunakan pihak berwenang dengan mantra ""kamu anti pembangunan. Kamu komunis""'"
208142,USER USER USER USER USER Hahahaha roti buaya mah buat nikahan pak',0.0,13,USER USER USER USER USER Hahahaha crocodile bread for your wedding sir',USER USER USER USER USER Hahahaha roti buaya untuk pernikahan anda pak'
208143,"#BeliSahamBRISyariah; #uym: Iya. Saya juga bilang begitu ke bbrp kwn. Pertama,ya bisa aja, dg berbagai cara, berbagai pintu, pada masuk beli saham,#brisyariah. Tapi ga dapet berjamaahnya. Dan jadi ga bcr historis. Ga bcr #sejarah. Di mana kita juga bcr sta",0.0,13,"#BuyBRISyariahShares; #uym: Yes. I also said that to several friends. Firstly, yes you can, in various ways, various doors, by entering to buy shares, #brisyariah. But I didn't get the congregation. And so it's not historical. Never mind #history. Where we also bcr sta","#BeliBRISyariahShares; #uym: Ya. Saya juga mengatakan hal itu kepada beberapa teman. Yang pertama ya bisa, lewat berbagai cara, berbagai pintu, dengan masuk beli saham, #brisyariah. Tapi saya tidak mendapatkan jemaahnya. Jadi itu bukan sejarah. Jangan pedulikan #sejarah. Dimana kami juga bcr sta"
208144,"USER USER Lp ayahnya kan dah mati bom bunuh diri di sby,kamu jgn *linglung'",0.0,13,"USER USER His father's cell phone died in a suicide bombing in Sby, don't be *dazed'","USER USER Ponsel Ayahnya Mati Akibat Bom Bunuh Diri di Sby, Jangan *Bingung'"
208145,Jagalah kesehatan berpikir dan berlogika yang benar dengan #2019GantiPresiden,0.0,13,Maintain healthy thinking and correct logic with #2019GantiPresiden,Jaga pemikiran sehat dan logika yang benar bersama #2019GantiPresiden
208146,USER USER USER Yg ideal sih itu. Tp tdk menutup buat si jd Presiden Dunia khayal,0.0,13,USER USER USER That's the ideal one. But that doesn't stop him from being the President of the imaginary world,USER USER USER Itu yang ideal. Namun hal itu tidak menghentikannya untuk menjadi Presiden dunia khayalan
208147,Polemik MUI: Jangan Serang Ulama | KH. Bachtiar Nasir,0.0,13,MUI Polemic: Don't Attack Ulama | KH. Bachtiar Nasir,Polemik MUI: Jangan Serang Ulama | KH. Bachtiar Nasir
208150,Pak presiden USER ; Tampak magis .. ; ð???,0.0,13,USER President; Looks magical.. ; ð???,Presiden PENGGUNA; Terlihat ajaib.. ; D???
208151,pemerintahan Gus Ipul dan Puti ke depan akan memperkuat program Nawacita Presiden Jokowi di Jawa Timur. #RakyatB3rsamaJKW,0.0,13,Gus Ipul and Puti's government in the future will strengthen President Jokowi's Nawacita program in East Java. #PeopleB3rsamaJKW,Pemerintahan Gus Ipul dan Puti ke depan akan memperkuat program Nawacita Presiden Jokowi di Jawa Timur. #OrangB3rsamaJKW
208152,Bagus. Nanti kalau gak terbukti bisa dilaporkan balik ini. USER jelas-jelas pembahasan panjang dipotong oleh Akbar Faizal. Bedakan fiksi dan fiktif saja gak bisa,0.0,13,"Good. Later, if it is not proven, you can report this back. USER clearly had a long discussion cut short by Akbar Faizal. You can't even differentiate between fiction and fiction","Bagus. Nanti jika tidak terbukti, Anda bisa melaporkannya kembali. USER jelas sempat berdiskusi panjang dan disingkat oleh Akbar Faizal. Anda bahkan tidak bisa membedakan antara fiksi dan fiksi"
208157,Seorang Ahok konsisten dengan memberangkatkan saudara kita umat muslim yg kurang mampu bisa pergi umroh secara gratis.; ; Tapi dilain sisi ada banyak penipu yang pakai embel2 agama untuk mengubur harapan saudara kita umat muslim yang kurang mampu untuk dap,0.0,13,"Ahok is consistent in sending our less fortunate Muslim brothers and sisters to go on Umrah for free; ; But on the other hand, there are many fraudsters who use religious embellishments to bury the hopes of our Muslim brothers and sisters who are less able to get money","Ahok konsisten mengirimkan saudara-saudari kita yang kurang mampu untuk berangkat umrah secara gratis; ; Namun di sisi lain, banyak juga penipu yang menggunakan hiasan agama untuk mengubur harapan saudara-saudara kita umat Islam yang kurang mampu mendapatkan uang."
208158,"USER USER USER Banteng lebih ngeri lagi bung,sarangnya komunis'",0.0,13,"USER USER USER Bulls are even more scary, bro, their nest is communist'","USER USER USER Banteng malah lebih seram gan, sarangnya komunis'"
208159,"USER Nah itu dia....hadeh rejim amatir!!!,*muakmuakmuak* ingin segera 2019, ingin segera #2019GantiPresiden",0.0,13,User,Pengguna
208161,"USER And begitu membenci PKS, apakah anda itu agen Yahudi atau Komunis ?'",0.0,13,"USER And you hate PKS so much, are you a Jewish or Communist agent?'","USER Dan Anda sangat membenci PKS, apakah Anda agen Yahudi atau Komunis?'"
208162,Kebanyakan fitnah nih mpok silvy DebatFinalPilkadaJKT Gue2,0.0,13,"Most of the slander is from Silvy, Gue2's JKT Pilkada Final Debate","Fitnah paling banyak datang dari Silvy, Debat Final Pilkada JKT Gue2"
208164,PKH Super diciptakan untuk melengkapi Program Keluarga Harapan (PKH) yang dikembangkan Presiden Jokowi #PKHSuperGusIPulPuti,0.0,13,PKH Super was created to complement the Family Hope Program (PKH) developed by President Jokowi #PKHSuperGusIPulPuti,PKH Super diciptakan untuk melengkapi Program Keluarga Harapan (PKH) yang dikembangkan Presiden Jokowi #PKHSuperGusIPulPuti
208165,USER Yah namanya juga panasbung',0.0,13,"USER Yes, his name is also Panasbung'","USER Ya, namanya juga Panasbung'"
208167,Mau jadi apa jabar kalo wagubnya aja ga konsisten USER USER USER MeikartaGate,0.0,13,What will happen if the deputy governor is not consistent USER USER USER MeikartaGate,Apa jadinya jika Wagub tidak konsisten USER USER USER MeikartaGate
