Unnamed: 0,text,label,language,translated_text,back_translated_text
57307,这么怕女性侵占你的权益那求求你别结婚别谈恋爱了，少祸害一个是一个,1.0,3,"If you are so afraid that women will encroach on your rights, please don’t get married and fall in love. Don’t harm one by one.",如果你很害怕女人侵犯你的权利，请不要结婚和恋爱。不要一一伤害。
57319,"4.有趣的是，这位男士的第一反应是「啊，又有妖孽来害朕」，而对这次运动中被暴露（实则早已心知肚明）出来的女性被损伤被侵害视若无睹没有一点同情。被侵害的不只女性，NYU教授Avital Ronnell被自己男学生指控性侵。所以metoo的重点不在于女性被性侵，而是反对任何隐显性不平等权力结构中对权力的滥用,3. 关于评论那位男士提出的metoo会否有误伤，你要相信大家不比你傻或许还比你更有实践精神，这个话题几月以前已经被广泛的讨论过，推荐阅读林垚（林三土）的文章。事实上伴随着metoo的进行对metoo的反思从未断过，国内外都有很多讨论，可自行搜索。",1.0,3,"4. What’s interesting is that this man’s first reaction was “Ah, there’s another monster coming to harm me”, but he turned a blind eye to the fact that women were exposed in this movement (but he already knew it). A little sympathy. It’s not just women who have been assaulted. NYU professor Avital Ronnell was accused of sexual assault by one of his male students. Therefore, the focus of metoo is not on women being sexually assaulted, but on opposing the abuse of power in any implicitly unequal power structure. 3. As for whether the man who commented on metoo will cause accidental injury, you have to believe that everyone is not stupider than you. Maybe you are more practical than you. This topic has been widely discussed a few months ago. It is recommended to read Lin Yao (Lin Santu)'s article. In fact, with the development of metoo, reflection on metoo has never stopped. There are many discussions at home and abroad. You can search for it yourself.",4. 有趣的是，这个男人的第一反应是“啊，又一个怪物来伤害我了”，但他对这次运动中暴露女性的事实视而不见（但他已经知道了）。有点同情。被侵犯的不仅仅是女性。纽约大学教授阿维塔·罗内尔被一名男学生指控性侵犯。因此，metoo的关注点不是女性遭受性侵犯，而是反对任何隐性不平等的权力结构中的权力滥用。 3、至于评论metoo的男人会不会造成误伤，你要相信大家都不比你傻。也许你比你更实际。这个话题几个月前已经被广泛讨论。推荐阅读林耀（林三土）的文章。事实上，随着metoo的发展，对metoo的反思也从未停止过。国内外有很多讨论。你可以自己搜索一下。
57322,婚驴对女性的敏感点极高，在男人面前就跟死猪一样,1.0,3,Marriage donkeys are extremely sensitive to women and are like dead pigs in front of men.,婚姻驴对女人极其敏感，在男人面前就像死猪一样。
57325,他们骂男人因为她们就是想和男人结婚啊，不想结婚男人就是路人，他糟糕成什么样，有关系么？,1.0,3,They scold men because they just want to marry men. Men who don’t want to get married are just passers-by. Does it matter how bad he is?,她们骂男人是因为她们只想嫁给男人。不想结婚的男人只是过客。他有多坏还有关系吗？
57327,就是呀，从量上一直就是女的被这条法律坑的多，好不容易出个女的能用这条去恶心男的，高兴都来不及，结果好多女人还再骂她……,1.0,3,"That’s right. Women have always been cheated more by this law. It’s hard to find a woman who can use this law to disgust men. It’s too late to be happy. As a result, many women continue to scold her...",这是正确的。女性总是被这条法律欺骗得更多。很难找到一个女人能够利用这条法律来恶心男人。高兴的时候已经晚了。结果，很多女人不断地骂她……
57328,"男人才受了那么一点点“委屈”就跳出来讲平等。女人已经忍气吞声受了那么多年委屈了，性侵犯和骚扰对女人一辈子的伤害何止是事业和前途上的。如果觉得委屈，那么一开始就不要干那些下三滥的事情。/,讲平等，好，多少女性在职场内外遭受性侵犯和骚扰因为无法“定罪”要遭受阴霾。男性在执法司法系统中一直都是性犯罪的“既得利益者”。那么好了，天道好轮回，现在才迎来女性的第一次疯狂“反攻”跟反噬就有人跳出来讲“平等”。可笑，苍天饶过谁。//",1.0,3,"Men have only suffered a little ""grievance"" before they jump out and talk about equality. Women have endured the injustice for so many years. Sexual assault and harassment do harm to women throughout their lives, not just in their career and future. If you feel aggrieved, then don't do those dirty things in the first place. /, Speaking of equality, well, how many women have suffered sexual assault and harassment inside and outside the workplace because they cannot be “convicted”. Men have always been ""vested interests"" in sexual crimes in the law enforcement and judicial system. Well, God's way is reincarnation. Now we are experiencing women's first crazy ""counterattack"" and backlash, and some people are jumping out to talk about ""equality."" Ridiculous, who will God spare? //",男人只是受了一点“委屈”，就跳出来讲平等了。多年来，女性一直忍受着不公正的对待。性侵犯和性骚扰对女性的一生都会造成伤害，而不仅仅是她们的职业和未来。如果你觉得委屈，那就先别做那些肮脏的事。 /，说到平等，那么，有多少女性因为无法被“定罪”而在工作场所内外遭受性侵犯和骚扰。在执法和司法系统中，男性一直是性犯罪的“既得利益者”。好吧，神的方式就是轮回。现在我们正在经历女性第一次疯狂的“反击”和反弹，有人跳出来谈论“平等”。可笑，上帝会饶恕谁？ //
57329,常年性侵女演员。这句话可以用在95%的名导演身上都实用。,1.0,3,Sexually assaulting actresses all year round. This sentence can be applied to 95% of famous directors.,常年性侵女演员。这句话可以适用于95%的著名导演。
57333,"为什么要反对木大妈，就是因为不想刚赶跑了男主子，又来个女主子奴役你，看到她那副高高在上的样子就恶心。,底层女性的问题，并不是光反婚反孝就能解决。木大妈经常断章取义拿马克思的观点给她自己站台，但马克思不仅仅反对婚姻制，也反对阶级剥削，木大妈反而鼓吹阶级剥削合理正确，还规训别人要遵守资本世界里的等级。其实这些都是男权社会的东西。马克思的理论是一整套的，不可分割的，木大妈是别有用心。,木大妈挺拥护阶级制度，很社达，但其实男权社会的产物并不仅仅只有婚姻制度，还有阶级制度，阶级也是男权社会的一部分。母系社会只有血缘没有阶级。我觉得她是因为自己生而为女，在男权社会里不想因为自己性别被男人吃，所以反婚，但是她又想靠阶级制度吃下位女人，所以拥护阶级。她的女权斗争并不彻底,木大妈18年说过刘玉玲是女星婚育的典范，可是刘玉玲15年就代孕生了个儿子，和屌子一样压榨底层女性，只不过她用阶级压榨的，木大妈截图嘲讽侮辱的也都是快手上那些底层婚女，内容也就是嘲讽她们穷，吃住用多差，她为啥不敢羞辱嫁给有钱男的上层婚女呢？就让人感觉其实她鄙夷的并不是婚姻制度，而是穷人",1.0,3,"Why do you want to oppose Aunt Mu? It's because you don't want a female master to enslave you just after you've driven away your male master. You feel sick when you see her high and mighty look. The problems of women at the bottom of society cannot be solved by simply opposing marriage and filial piety. Aunt Mu often uses Marx's views out of context to support herself, but Marx not only opposes the marriage system, but also class exploitation. Aunt Mu, on the contrary, advocates that class exploitation is reasonable and correct, and disciplines others to abide by the hierarchy in the capitalist world. In fact, these are all things in a patriarchal society. Marx's theory is a complete set and cannot be separated. Aunt Mu has ulterior motives. Aunt Mu supports the class system and is very socialist, but in fact, the product of a patriarchal society is not only the marriage system, but also the class system. Class is also a part of a patriarchal society. A matriarchal society only has blood ties but no class. I think she is against marriage because she was born a woman and doesn't want to be eaten by men because of her gender in a patriarchal society, but she also wants to eat lower-level women through the class system, so she supports class. Her struggle for women's rights is not thorough. In 2018, Aunt Mu said that Lucy Liu was a model of marriage and childbearing among female stars, but Lucy Liu had a son through surrogacy in 2015. She exploits lower-class women just like Diao Zi, but she exploits them by class. The people whom Aunt Mu mocked and insulted in her screenshots are all those lower-class married women on Kuaishou. The content is just to mock their poverty and poor food and accommodation. Why doesn't she dare to humiliate upper-class married women who marry rich men? It makes people feel that what she despises is not the marriage system, but the poor.",为什么要反对穆姨？因为你不想刚赶走你的男主就让女主奴役你。当你看到她高高在上的样子时，你会感到恶心。社会底层女性的问题，不是简单地反对婚姻、反对孝道就能解决的。穆阿姨经常断章取义地用马克思的观点来支持自己，但马克思不仅反对婚姻制度，还反对阶级剥削。穆姨恰恰相反，主张阶级剥削是合理的、正确的，并约束别人遵守资本主义世界的等级制度。其实这些都是父权社会里的事情。马克思的理论是一个完整的体系，不可分割。穆姨别有用心。穆阿姨支持阶级制度，非常社会主义，但事实上，父权社会的产物不仅仅是婚姻制度，还有阶级制度。阶级也是父权社会的一部分。母系社会只有血缘关系，没有阶级。我认为她反对婚姻，是因为她生来就是女人，不想在父权社会因为性别而被男人吃掉，但她也想通过阶级制度吃掉下层女性，所以她支持阶级。她为妇女权利的斗争并不彻底。 2018年，木姨称刘玉玲是女明星中婚育典范，但刘玉玲却在2015年通过代孕生下了儿子。她和刁子一样剥削下层女性，只不过是按阶级剥削。穆姨截图中嘲笑侮辱的人，都是快手上那些下层已婚妇女。内容只是嘲笑他们的贫困和食宿条件差。为什么她不敢羞辱嫁给有钱人的上层已婚妇女？让人觉得她鄙视的不是婚姻制度，而是穷人。
57334,"我有房有车有存款，房不止一套，车不止一辆，存款也是你一辈子搬砖都赚不到的数额，我是人，不是你这种死了都被嫌污染的韭菜，我猜猜看，你是30几的丑屌丝吧，金针菇早泄，身高160，乡下人，做过舔狗，月薪2000，那是要千万担心自己被割，总共仨瓜俩枣的，再被割一波，要脆弱地去跳江了,你是你，我是我，别人是别人，不要把别人同自己捆绑在一起，你是韭菜只代表你自己的处境，这么不满现状就在现实中突破自己的韭菜处境。,再加一条，单身生育合法，单身生育的女性思想成熟且有经济能力，她们只会选择国外的优质精子，而非中国的劣精，并且在国外可以人为选择胎儿的性别。还有，你自己是韭菜就先担心你自己能不能活下去，别操心太多。,所以想生育的女性只生女孩就好了，母系社会不要太幸福",1.0,3,"I have a house, a car, and deposits. I have more than one house and more than one car. The deposit is an amount that you can't earn even if you move bricks in your lifetime. I am a human being, not a leek like you who will be polluted even after death. I guess Guess, you are an ugly loser in your 30s, you have premature ejaculation, you are 160cm tall, you are from the country, you have worked as a dog licker, and your monthly salary is 2,000. You have to worry about being cut. Bo, it’s time to be vulnerable and jump into the river. You are you, I am me, and others are others. Don’t tie others to yourself. You being a leek only represents your own situation. If you are so dissatisfied with the status quo, you will break through yourself in reality. The situation of leeks. , and one more thing, single childbirth is legal. Women who have single children are mature and financially capable. They will only choose high-quality sperm from abroad instead of inferior sperm from China, and they can artificially select the gender of the fetus abroad. Also, if you are a leek, worry about whether you can survive first. Don't worry too much. , so women who want to have children can just give birth to girls. The matriarchal society should not be too happy.",我有房、有车、还有存款。我有不止一所房子和不止一辆汽车。押金是你一辈子搬砖都赚不到的金额。我是一个人，不是像你这样死后也会被污染的韭菜。我猜猜，你是一个30多岁的丑陋失败者，你有早泄，你身高160厘米，你来自农村，你做过舔狗工，你的月薪是2000。你得担心被砍。博，是时候脆弱地跳进河里了。你是你，我是我，别人是别人。不要把别人和自己绑在一起。你是韭菜只代表你自己的情况。如果你对现状如此不满，你就会在现实中突破自己。韭菜的情况。 ，还有一件事，单胎生育是合法的。独生子女的女性成熟且有经济能力。他们只会选择国外的优质精子，不会选择国内的劣质精子，并且可以在国外人工选择胎儿的性别。还有，如果你是韭菜，先担心自己能不能活下来。别太担心。 ，所以想要生孩子的女性就生女孩就可以了。母系社会不应该太幸福。
57336,你是被女权洗脑了吗？是女权自己带臭自己的，你看看那些老百姓正常争取权益的没见有喷的,1.0,3,Have you been brainwashed by feminism? It’s women’s rights who are making a fuss about themselves. Look at the people who are fighting for their rights normally and there’s no one complaining about them.,你被女权主义洗脑了吗？是女权在自己身上做文章。看看那些正常争取权利的人，没有人抱怨他们。
